n_topics,c_v_coherence
3,0.3588866886815995
4,0.3734102518810116
5,0.3554094561801623
6,0.3477868816891494
7,0.3889841703680143
8,0.3740505953574941
9,0.4094961482968466
10,0.37144374678078707
