Topic,Count,Name,Representation,Representative_Docs
-1,193,-1_job_task_tasks_map,"['job', 'task', 'tasks', 'map', 'jobtracker', 'reduce', 'number', 'data', 'jobs', 'node', 'run', 'time']","[""Proposal for redesign/refactoring of the JobTracker and TaskTracker During discussions on HADOOP-815 wrt some hard-to-maintain code on the JobTracker we all agreed that the current state-of-affairs there is brittle and merits some rework. Case in point: there are back-calls from TaskInProgress to JobTracker and from JobInProgress to JobTracker which mean that synchronization is quite involved and brittle, leading to issues like HADOOP-600. Also one is forced to lock several data-structures individually before certain operations (taskTrackers, trackerExpiryQueue, jobs etc.) Hence I'd like to present some early thoughts (which have undergone a quick iteration) on how we could do slightly better by a bit of redesign/refactoring, also during discussions with Owen on the same we agreed that HADOOP-554 is an integral part along the same direction... and I also feel that a good candidate to be done along with this is HADOOP-398 (mapred package refactoring). Context: --------- a) The unit of communication between the JobTracker & TaskTracker is a 'task'. b) Due to (a) the JobTracker maintains a bunch of information related on the 'taskid' i.e. taskidToTipMap, taskidToTrackerMap etc. and hence we need to update the JobTracker's data-structures via back-calls from TaskInProgress & JobInProgress where the context is available (complete/failed task, already-completed task etc.) c) This implies that we have a fairly elaborate and hard to maintain locking structures and also some redundant information in the JobTracker; making it harder to maintain. Overall at both the JobTracker & TaskTracker the concept of a 'job' is overshadowed by the 'task'; which I propose we fix. Proposal: ---------- Here is the main flow of control: JobTracker -> JobInProgress -> TaskInProgress -> task_attempt The main idea is to break the existing nexus between the JobTracker & TaskInProgress/taskid by (I've put code for illustrative purposes only, and ignored pieces irrelevant to this discussion): a) Making the 'job' the primary unit of communication between JobTracker & TaskTracker. b) TaskTrackerStatus now looks like this: class TaskTrackerStatus class JobStatus c) The JobTracker maintains only a single map of jobid -> JobInProgress, and mapping from taskTracker -> List<JobInProgress> Map<JobId, JobInProgress> allJobs; Map<String, List<JobInProgress>> trackerToJobsMap; d) The JobTracker delegates a bunch of responsibilities to the JobInProgress to reflect the fact the primary 'concept' in map/reduce is the 'job', thus empowering the JobInProgress class: class JobInProgress d) On receipt of TaskTrackerStatus from a tracker, the processeing of heartbeat looks like this: for (JobStatus jobStatus : taskTrackerStatus.getJobStatuses()) } The big change is that the JobTracker delegates a lot of responsibility to the JobInProgress, we get away from all the complicated synchronization constructs: simply lock the JobInProgress object at all places via allJobs/trackerToJobsMap and we are done. This also enhances throughput since mostly we will not need to lock up the JobTracker (even in the heartbeat loop); locking the JobInProgress or the 2 maps is sufficient in most cases... thus enhance the inherent parallelism of the JobTracker's inner loop (processing heartbeat) and provide better response when multiple jobs are running on the cluster. Hence the JobInProgress is responsible for maintaining it's TaskInProgress'es which in turn are completely responsible for the TaskAttempt`s, the JobInProgress also provides sufficient information as and when needed to the JobTracker to schedule jobs/tasks and the JobTracker is blissfully unaware of the innards of jobs/tasks. -*-*- I hope to articulate more a general direction towards an improved and maintainable 'mapred' and would love to hear out how we can improve and pitfalls to avoid... lets discuss. We could take this piecemeal an implement or at one go... Last, not least; I propose that while we are at this we redo the nomenclature a bit: JobInProgress -> Job TaskInProgress -> Task taskid -> replace with a new TaskAttempt this should help clarify each class and it's roles. Of course we will probably need a separate org.apache.hadoop.mapred.job.Task v/s org.apache.hadoop.mapred.task.Task which is why I feel HADOOP-554 (refactoring of mapred packages) would be very important to get a complete, coherent solution. Thoughts?"", 'DistCp Rewrite This is a slightly modified version of the DistCp rewrite that Yahoo uses in production today. The rewrite was ground-up, with specific focus on: 1. improved startup time (postponing as much work as possible to the MR job) 2. support for multiple copy-strategies 3. new features (e.g. -atomic, -async, -bandwidth.) 4. improved programmatic use Some effort has gone into refactoring what used to be achieved by a single large (1.7 KLOC) source file, into a design that (hopefully) reads better too. The proposed DistCpV2 preserves command-line-compatibility with the old version, and should be a drop-in replacement. New to v2: 1. Copy-strategies and the DynamicInputFormat: A copy-strategy determines the policy by which source-file-paths are distributed between map-tasks. (These boil down to the choice of the input-format.) If no strategy is explicitly specified on the command-line, the policy chosen is ""uniform size"", where v2 behaves identically to old-DistCp. (The number of bytes transferred by each map-task is roughly equal, at a per-file granularity.) Alternatively, v2 ships with a ""dynamic"" copy-strategy (in the DynamicInputFormat). This policy acknowledges that (a) dividing files based only on file-size might not be an even distribution (E.g. if some datanodes are slower than others, or if some files are skipped.) (b) a ""static"" association of a source-path to a map increases the likelihood of long-tails during copy. The ""dynamic"" strategy divides the list-of-source-paths into a number (> nMaps) of smaller parts. When each map completes its current list of paths, it picks up a new list to process, if available. So if a map-task is stuck on a slow (and not necessarily large) file, other maps can pick up the slack. The thinner the file-list is sliced, the greater the parallelism (and the lower the chances of long-tails). Within reason, of course: the number of these short-lived list-files is capped at an overridable maximum. Internal benchmarks against source/target clusters with some slow(ish) datanodes have indicated significant performance gains when using the dynamic-strategy. Gains are most pronounced when nFiles greatly exceeds nMaps. Please note that the DynamicInputFormat might prove useful outside of DistCp. It is hence available as a mapred/lib, unfettered to DistCpV2. Also note that the copy-strategies have no bearing on the CopyMapper.map() implementation. 2. Improved startup-time and programmatic use: When the old-DistCp runs with -update, and creates the list-of-source-paths, it attempts to filter out files that might be skipped (by comparing file-sizes, checksums, etc.) This significantly increases the startup time (or the time spent in serial processing till the MR job is launched), blocking the calling-thread. This becomes pronounced as nFiles increases. (Internal benchmarks have seen situations where more time is spent setting up the job than on the actual transfer.) DistCpV2 postpones as much work as possible to the MR job. The file-listing isn\'t filtered until the map-task runs (at which time, identical files are skipped). DistCpV2 can now be run ""asynchronously"". The program quits at job-launch, logging the job-id for tracking. Programmatically, the DistCp.execute() returns a Job instance for progress-tracking. 3. New features: (a) -async: As described in #2. (b) -atomic: Data is copied to a (user-specifiable) tmp-location, and then moved atomically to destination. (c) -bandwidth: Enforces a limit on the bandwidth consumed per map. (d) -strategy: As above. A more comprehensive description the newer features, how the dynamic-strategy works, etc. is available in src/site/xdoc/, and in the pdf that\'s generated therefrom, during the build. High on the list of things to do is support to parallelize copies on a per-block level. (i.e. Incorporation of HDFS-222.) I look forward to comments, suggestions and discussion that will hopefully ensue. I have this running against Hadoop 0.20.203.0. I also have a port to 0.23.0 (complete with unit-tests). P.S. A tip of the hat to Srikanth (Sundarrajan) and Venkatesh (Seetharamaiah), for ideas, code, reviews and guidance. Although much of the code is mine, the idea to use the DFS to implement ""dynamic"" input-splits wasn\'t.', 'DynamicMR: A Dynamic Slot Utilization Optimization Framework for Hadoop MRv1 Hadoop MRv1 uses the slot-based resource model with the static configuration of map/reduce slots. There is a strict utility constrain that map tasks can only run on map slots and reduce tasks can only use reduce slots. Due to the rigid execution order between map and reduce tasks in a MapReduce environment, slots can be severely under-utilized, which significantly degrades the performance. In contrast to YARN that gives up the slot-based resource model and propose a container-based model to maximize the resource utilization via unawareness of the types of map/reduce tasks, we keep the slot-based model and propose a dynamic slot utilization optimization system called DynamicMR to improve the performance of Hadoop by maximizing the slots utilization as well as slot utilization efficiency while guaranteeing the fairness across pools. It consists of three types of scheduling components, namely, Dynamic Hadoop Fair Scheduler (DHFS), Dynamic Speculative Task Scheduler (DSTS), and Data Locality Maximization Scheduler (DLMS). Our tests show that DynamicMR outperforms YARN for MapReduce workloads with multiple jobs, especially when the number of jobs is large. The explanation is that, given a certain number of resources, it is obvious that the performance for the case with a ratio control of concurrently running map and reduce tasks is better than without control. Because without control, it easily occurs that there are too many reduce tasks running, causing the network to be a bottleneck seriously. For YARN, both map and reduce tasks can run on any idle container. There is no control mechanism for the ratio of resource allocation between map and reduce tasks. It means that when there are pending reduce tasks, the idle container will be most likely possessed by them. In contrast, DynamicMR follows the traditional slot-based model. In contrast to the ’hard’ constrain of slot allocation that map slots have to be allocated to map tasks and reduce tasks should be dispatched to reduce tasks, DynamicMR obeys a ’soft’ constrain of slot allocation to allow that map slot can be allocated to reduce task and vice versa. But whenever there are pending map tasks, the map slot should be given to map tasks first, and the rule is similar for reduce tasks. It means that, the traditional way of static map/reduce slot configuration for the ratio control of running map/reduce tasks still works for DynamicMR. In comparison to YARN which maximizes the resource utilization only, DynamicMR can maximize the slot resource utilization and meanwhile dynamically control the ratio of running map/reduce tasks via map/reduce slot configuration.']"
0,49,0_yarn_rm_mr_jhs,"['yarn', 'rm', 'mr', 'jhs', 'client', 'app', 'token', 'application', 'log', 'job', 'jira', 'user']","[""Enhance YARN Client-RM protocol to provide access to information such as cluster's Min/Max Resource capabilities similar to that of AM-RM protocol To request a container to launch an application master, the client needs to know the min/max resource capabilities so as to be able to make a proper resource request when submitting a new application."", 'Add Job#close API to shutdown MR client services. ATS1.5 uses FileSystemTimelineWriter which creates FS object on every writer initialization. If writer is not closed, then there is possibility of OOM see YARN-5438 fixes closing FS object. TimelineClient is used by YarnClient. So all the user who uses YarnClient with ATS1.5 need to stop service properly. Otherwise there is big chance of FS object leak. Of course MR uses YARN client submit job. If MR do not stop YarnClient then there is FS object leak. JobClient provides a API to stop all these service using *JobClient#close*. But many MR clients uses *Job* object to submit a job. But do not stop started services by default. So, provide a API *Job#close* to shutdown MR client services. This API can be utilized by caller explicitly to stop service which avoids FS leak.', 'Provide optional RollingFileAppender for container log4j (syslog) This JIRA is an alternative take on YARN-1130 We propose providing an option of using a RollingFileAppender(RFA)-based implementation of container log appender as means of log size control via mapreduce.task.userlog.limit.kb. The idea is to use mapreduce.task.userlog.limit.kb as maximumFileSize of RFA. In addition yarn.app.mapreduce.container.log.backups (task attempt containers) and yarn.app.mapreduce.am.log.backups (MR-AM) are passed as maxBackupIndex. Both current ContainerLogAppender (CLA) and new ContainerRollingLogAppender (CRLA) co-exist. CLA is the default. CRLA is chosen when mapreduce.task.userlog.limit.kb > 0 && *.backups > 0. Pros: 1) CRLA output is visible in UI right away. CLA output with mapreduce.task.userlog.limit.kb > 0 is not visible until the task attempt finishes that prevents timely diagnostics. 2) Even with excessive logging and a large mapreduce.task.userlog.limit.kb, no space is taken from the JVM heap. 3) No UI impact, since YARN is already designed to deal with any log name beyond stderr/out, syslog, debug.out, profile.out Cons: 1) if the logging is excessive there will be more local filesystem metadata I/O due to roll. That should be negligible in the grand scheme. Furthermore, to improve log consistency and completeness in the case of JVM crashes and SIGTERMing by NM, we propose to restore the MRv1 behavior of periodic log syncing (every 5s) and having log sync as part of a shutdown hook.']"
1,43,1_sort_reduce_combiner_reducer,"['sort', 'reduce', 'combiner', 'reducer', 'map', 'hash', 'merge', 'mapper', 'key', 'output', 'memory', 'data']","[""Support no sort dataflow in map output and reduce merge phrase In our experience, many data aggregation style queries/jobs don't need to sort the intermediate data. In fact reducer side can use hashmap or even array to do application level aggregations. For example, consider computing CTR using display log & click log in sponsored search. Map side just emit (adv_id, clk_cnt, dis_cnt), reduce side aggregate clk_cnt and dis_cnt for every adv_id, cause adv_id is integer, we can partition adv_id by range: ** reduce0: 0-100000 ** reduce1: 100000-200000 ** ... ** reduceM: xxx-max adv-id Then the reducer can use an array(for example: int ) to store the aggregated clk_cnt & dis_cnt, and we don't need the framework to sort intermediate data anymore. By supporting no sort, we can gain a lot of performance improvements: # Eliminate map side sort & merge. KV paris need to sort by partition first, but this can be done using a liner time counting sort, which is much faster than quick sort. Just merge spill segments one by one, doesn't need to use heap merge. # Eliminate shuffle phrase barrier, reducer can start to processing data before all map output data are copied & merged. For most cases, memory won't be a problem, cause keys are divided to many partitions, each reducers only process a small subset of the global key set."", 'Hash-based MapReduce To support parallel processing, the MapReduce computation model essentially implements group data by key, then apply the reduce function to each group. The currently implementation of MapReduce framework uses sort-merge to guarantee the computation model. While “sort-merge” is relatively expensive when only grouping is needed. And this is what hash capable to do. We propose to implement Hash-based MapReduce which utilizes hash to guarantee the computation model instead of the sort merge. This technique will works as following: 1. At map side, the hash map output collector will collect the map output directly to the corresponding partition buffer (for each reduces) without sorting (first level partition). Each partition buffer can be flushed to disk if the buffer is full or close to full. To handling disk IO efficiently when there are too many partitions (reduces), the map side can be optimized by using a shared buffer for different partitions. Counting sort on partition number can be performed when flushing the shared buffer. 2. At reduce side, the hash shuffle will fetch its own partitions from maps as usually. While fetching, the records will be further partitioned (secondary level partition) by a universal hash function. By properly choosing the number of the partitions, every single partition should be able to fit into the memory. For cases such as much skewed distribution of the keys, the size of a partition may be too large to fit into the memory. When this happens, a parameter can be used to control whether we simply choose to fail the job or to try further partition the large partition into smaller ones using another hash function. 3. Once all the data are fetched and partitioned at reduce side, it starts iterating. A RawKeyValueIterator will be wrapped to process and iterating the partitions one by one. The processing for each partition is to load the partition into memory and a hash table can be built. And an iterator will be wrapped on the hash table to feed reduce the groups of keys and values in the hash table. Although there are some JIRAs related in using hash in MapReduce, the process proposed here has some fundamental differences with them. MAPREDUCE-1639 (Grouping using hashing instead of sorting) is described to be replacement of map side sort only. MAPREDUCE-3247 (Add hash aggregation style data flow and/or new API) and MAPREDUCE-4039 (Sort Avoidance) are mostly focused on no sort map reduce and not trying to guarantee the computation model at the framework level. From the above process, this work is a complete hash based approach. Sort at map side and merge at reduce side are completely replaced by hash and guarantee the computation model of MapReduce. While one potential affect to use hash without sorting is that MapReduce users should not depends on the order of different keys. The order of the keys are implied by the sort-merge process but will no longer implied when using hash for grouping keys. This work is implemented based on the pluggable MapOutputCollector (Map side) and ShuffleConsumerPlugin (Reduce side) provided by MAPREDUCE-2454. There are no modifications to the existing MapReduce code and so keep the affect to the original implementation to minimum. The hash-based MapReduce is not used by default. To enable Hash-based MapReduce, set “mapreduce.job.map.output.collector.class” to HashMapOutputCollector class and “mapreduce.job.reduce.shuffle.consumer.plugin.class” to HashShuffle class.', ""Sort Avoidance Inspired by , in 5.1 MapReduce Enhanceemtns: *Sort Avoidance*. Certain operators such as hash join and hash aggregation require shuffling, but not sorting. The MapReduce API was enhanced to automatically turn off sorting for these operations. When sorting is turned off, the mapper feeds data to the reducer which directly passes the data to the Reduce() function bypassing the intermediate sorting step. This makes many SQL operators significantly more ecient. There are a lot of applications which need aggregation only, not sorting.Using sorting to achieve aggregation is costly and inefficient. Without sorting, up application can make use of hash table or hash map to do aggregation efficiently.But application should bear in mind that reduce memory is limited, itself is committed to manage memory of reduce, guard against out of memory. Map-side combiner is not supported, you can also do hash aggregation in map side as a workaround. the following is the main points of sort avoidance implementation # add a configuration parameter ??mapreduce.sort.avoidance??, boolean type, to turn on/off sort avoidance workflow.Two type of workflow are coexist together. # key/value pairs emitted by map function is sorted by partition only, using a more efficient sorting algorithm: counting sort. # map-side merge, use a kind of byte merge, which just concatenate bytes from generated spills, read in bytes, write out bytes, without overhead of key/value serialization/deserailization, comparison, which current version incurs. # reduce can start up as soon as there is any map output available, in contrast to sort workflow which must wait until all map outputs are fetched and merged. # map output in memory can be directly consumed by reduce.When reduce can't catch up with the speed of incoming map outputs, in-memory merge thread will kick in, merging in-memory map outputs onto disk. # sequentially read in on-disk files to feed reduce, in contrast to currently implementation which read multiple files concurrently, result in many disk seek. Map output in memory take precedence over on disk files in feeding reduce function. I have already implement this feature based on hadoop CDH3U3 and done some performance evaluation, you can reference to for details. Now,I'm willing to port it into yarn. Welcome for commenting.""]"
2,39,2_scheduler_capacity_jobs_fair,"['scheduler', 'capacity', 'jobs', 'fair', 'queue', 'tasks', 'cluster', 'capacity scheduler', 'preemption', 'fair scheduler', 'scheduling', 'schedulers']","[""Add preemption to the fair scheduler Task preemption is necessary in a multi-user Hadoop cluster for two reasons: users might submit long-running tasks by mistake (e.g. an infinite loop in a map program), or tasks may be long due to having to process large amounts of data. The Fair Scheduler (HADOOP-3746) has a concept of guaranteed capacity for certain queues, as well as a goal of providing good performance for interactive jobs on average through fair sharing. Therefore, it will support preempting under two conditions: 1) A job isn't getting its _guaranteed_ share of the cluster for at least T1 seconds. 2) A job is getting significantly less than its _fair_ share for T2 seconds (e.g. less than half its share). T1 will be chosen smaller than T2 (and will be configurable per queue) to meet guarantees quickly. T2 is meant as a last resort in case non-critical jobs in queues with no guaranteed capacity are being starved. When deciding which tasks to kill to make room for the job, we will use the following heuristics: - Look for tasks to kill only in jobs that have more than their fair share, ordering these by deficit (most overscheduled jobs first). - For maps: kill tasks that have run for the least amount of time (limiting wasted time). - For reduces: similar to maps, but give extra preference for reduces in the copy phase where there is not much map output per task (at Facebook, we have observed this to be the main time we need preemption - when a job has a long map phase and its reducers are mostly sitting idle and filling up slots)."", ""CLONE - Mumak: Map-Reduce Simulator h3. Vision: We want to build a Simulator to simulate large-scale Hadoop clusters, applications and workloads. This would be invaluable in furthering Hadoop by providing a tool for researchers and developers to prototype features (e.g. pluggable block-placement for HDFS, Map-Reduce schedulers etc.) and predict their behaviour and performance with reasonable amount of confidence, there-by aiding rapid innovation. ---- h3. First Cut: Simulator for the Map-Reduce Scheduler The Map-Reduce Scheduler is a fertile area of interest with at least four schedulers, each with their own set of features, currently in existence: Default Scheduler, Capacity Scheduler, Fairshare Scheduler & Priority Scheduler. Each scheduler's scheduling decisions are driven by many factors, such as fairness, capacity guarantee, resource availability, data-locality etc. Given that, it is non-trivial to accurately choose a single scheduler or even a set of desired features to predict the right scheduler (or features) for a given workload. Hence a simulator which can predict how well a particular scheduler works for some specific workload by quickly iterating over schedulers and/or scheduler features would be quite useful. So, the first cut is to implement a simulator for the Map-Reduce scheduler which take as input a job trace derived from production workload and a cluster definition, and simulates the execution of the jobs in as defined in the trace in this virtual cluster. As output, the detailed job execution trace (recorded in relation to virtual simulated time) could then be analyzed to understand various traits of individual schedulers (individual jobs turn around time, throughput, faireness, capacity guarantee, etc). To support this, we would need a simulator which could accurately model the conditions of the actual system which would affect a schedulers decisions. These include very large-scale clusters (thousands of nodes), the detailed characteristics of the workload thrown at the clusters, job or task failures, data locality, and cluster hardware (cpu, memory, disk i/o, network i/o, network topology) etc."", ""Mumak: Map-Reduce Simulator h3. Vision: We want to build a Simulator to simulate large-scale Hadoop clusters, applications and workloads. This would be invaluable in furthering Hadoop by providing a tool for researchers and developers to prototype features (e.g. pluggable block-placement for HDFS, Map-Reduce schedulers etc.) and predict their behaviour and performance with reasonable amount of confidence, there-by aiding rapid innovation. ---- h3. First Cut: Simulator for the Map-Reduce Scheduler The Map-Reduce Scheduler is a fertile area of interest with at least four schedulers, each with their own set of features, currently in existence: Default Scheduler, Capacity Scheduler, Fairshare Scheduler & Priority Scheduler. Each scheduler's scheduling decisions are driven by many factors, such as fairness, capacity guarantee, resource availability, data-locality etc. Given that, it is non-trivial to accurately choose a single scheduler or even a set of desired features to predict the right scheduler (or features) for a given workload. Hence a simulator which can predict how well a particular scheduler works for some specific workload by quickly iterating over schedulers and/or scheduler features would be quite useful. So, the first cut is to implement a simulator for the Map-Reduce scheduler which take as input a job trace derived from production workload and a cluster definition, and simulates the execution of the jobs in as defined in the trace in this virtual cluster. As output, the detailed job execution trace (recorded in relation to virtual simulated time) could then be analyzed to understand various traits of individual schedulers (individual jobs turn around time, throughput, faireness, capacity guarantee, etc). To support this, we would need a simulator which could accurately model the conditions of the actual system which would affect a schedulers decisions. These include very large-scale clusters (thousands of nodes), the detailed characteristics of the workload thrown at the clusters, job or task failures, data locality, and cluster hardware (cpu, memory, disk i/o, network i/o, network topology) etc.""]"
3,36,3_java_yarn_apache_org apache,"['java', 'yarn', 'apache', 'org apache', 'org', 'server', 'nodemanager', 'apache yarn', 'dfs', 'principal', 'trunk', 'common']","['Refactor Hadoop package structure and source tree. This Jira proposes refactoring the Hadoop package structure and source tree Goals 1. A little finer package structure. - Current structure is a little flat - Smaller files (name node and data node are way too big) 2. The client interfaces and data types sent across the wire should be clearly identifiable by the package they sit in. This will help preserving app compatibility since it will be very obvious when one breaks the interface. 3. Split dfs\'s client and server side jars. 4. Move map-reduce into separate src tree (but same SVN repository) along with its separate jar. 5. The Javadoc for users of Hadoop should not contain the internal server-side interfaces/classes 6. Fix all compiler warnings 7. Fix/minimize findbug warnings The top level package structure remains unchanged: hadoop.fs hadoop.dfs hadoop.mapred Etc. Considered changing hadoop.dfs to hadoop.hdfs but the ""h"" does not really add much since hadoop is already part of the package name; didn\'t seem worth going to through the trouble of breaking compatibility. Changes will occur internally within the above packages. sub-Jira HADOOP-2885 proposes restructuring hadoop.dfs. Other Jiras will be filed for restructuring other parts.', 'Restructure the hadoop.dfs package This Jira proposes restructurign the package hadoop.dfs. 1. Move all server side and internal protocols (NN-DD etc) to hadoop.dfs.server.* 2. Further breakdown of dfs.server. - dfs.server.namenode.* - dfs.server.datanode.* - dfs.server.balancer.* - dfs.server.common.* - stuff shared between the various servers - dfs.protocol.* - internal protocol between DN, NN and Balancer etc. 3. Client interface: - hadoop.dfs.DistributedFileSystem.java - hadoop.dfs.ChecksumDistributedFileSystem.java - hadoop.dfs.HftpFilesystem.java - hadoop.dfs.protocol.* - the client side protocol', 'Authorization of NM <=> RM with simple authentication mistakenly attempts kerberos when yarn.nodemanager.principal is defined MAPREDUCE-3617 addresses the default values of yarn.nodemanager.principal and yarn.resourcemanager.principal I have enabled authorization with simple authentication. NM <=> RM still attempts kerberos authentication. If simple authentication is enabled yarn.nodemanager.principal and yarn.resourcemanager.principal values should be ignored and simple authentication should be used. <property> <name>hadoop.security.authentication</name> <value>simple</value> <description></description> </property> <property> <name>hadoop.security.authorization</name> <value>true</value> <description></description> </property> <property> <description>The Kerberos principal for the resource manager.</description> <name>yarn.resourcemanager.principal</name> <value>rm/sightbusy-lx@LOCALHOST</value> </property> <property> <description>The kerberos principal for the node manager.</description> <name>yarn.nodemanager.principal</name> <value>nm/sightbusy-lx@LOCALHOST</value> </property> 2012-01-03 16:40:00,793 INFO nodemanager.NodeStatusUpdaterImpl (NodeStatusUpdaterImpl.java:registerWithRM(176)) - Connected to ResourceManager at machine.example.com:8025 2012-01-03 16:40:00,845 ERROR service.CompositeService (CompositeService.java:start(72)) - Error starting services org.apache.hadoop.yarn.server.nodemanager.NodeManager org.apache.avro.AvroRuntimeException: java.lang.reflect.UndeclaredThrowableException at org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl.start(NodeStatusUpdaterImpl.java:149) at org.apache.hadoop.yarn.service.CompositeService.start(CompositeService.java:68) at org.apache.hadoop.yarn.server.nodemanager.NodeManager.start(NodeManager.java:167) at org.apache.hadoop.yarn.server.nodemanager.NodeManager.main(NodeManager.java:242) Caused by: java.lang.reflect.UndeclaredThrowableException at org.apache.hadoop.yarn.server.api.impl.pb.client.ResourceTrackerPBClientImpl.registerNodeManager(ResourceTrackerPBClientImpl.java:66) at org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl.registerWithRM(NodeStatusUpdaterImpl.java:182) at org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl.start(NodeStatusUpdaterImpl.java:145) ... 3 more Caused by: com.google.protobuf.ServiceException: org.apache.hadoop.security.authorize.AuthorizationException: User user (auth:SIMPLE) is not authorized for protocol interface org.apache.hadoop.yarn.proto.ResourceTracker$ResourceTrackerService$BlockingInterface, expected client Kerberos principal is nm/sightbusy-lx@LOCALHOST at org.apache.hadoop.yarn.ipc.ProtoOverHadoopRpcEngine$Invoker.invoke(ProtoOverHadoopRpcEngine.java:139) at $Proxy24.registerNodeManager(Unknown Source) at org.apache.hadoop.yarn.server.api.impl.pb.client.ResourceTrackerPBClientImpl.registerNodeManager(ResourceTrackerPBClientImpl.java:59) ... 5 more Caused by: org.apache.hadoop.security.authorize.AuthorizationException: User user (auth:SIMPLE) is not authorized for protocol interface org.apache.hadoop.yarn.proto.ResourceTracker$ResourceTrackerService$BlockingInterface, expected client Kerberos principal is nm/sightbusy-lx@LOCALHOST at org.apache.hadoop.ipc.Client.call(Client.java:1085) at org.apache.hadoop.yarn.ipc.ProtoOverHadoopRpcEngine$Invoker.invoke(ProtoOverHadoopRpcEngine.java:136) ... 7 more 2012-01-03 16:40:00,846 WARN event.AsyncDispatcher (AsyncDispatcher.java:run(78)) - AsyncDispatcher thread interrupted java.lang.InterruptedException at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.reportInterruptAfterWait(AbstractQueuedSynchronizer.java:1961) at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:1996) at java.util.concurrent.LinkedBlockingQueue.take(LinkedBlockingQueue.java:399) at org.apache.hadoop.yarn.event.AsyncDispatcher$1.run(AsyncDispatcher.java:76) at java.lang.Thread.run(Thread.java:662) 2012-01-03 16:40:00,846 INFO service.AbstractService (AbstractService.java:stop(75)) - Service:Dispatcher is stopped.']"
4,26,4_rumen_job_jobs_gridmix,"['rumen', 'job', 'jobs', 'gridmix', 'traces', 'information', 'load', 'list', 'string', 'time', 'select', 'trace']","['Rumen should provide simple trace filtering capabilities Rumen should provide inbuilt tools to filter jobs from a given trace. Following are the usecases: 1. Select only first k jobs. 2. Select jobs with certain configuration keys set or available 3. Select jobs where the original job id matches the specified list 4. Select jobs which have at-least/at-most x map tasks and/or at-least/at-most y reduce tasks. 5. Select jobs belonging to a specific user(s) 6. Select jobs having specific name(s) and so on.', ""Rumen: a tool to extract job characterization data from job tracker logs We propose a new map/reduce component, rumen, which can be used to process job history logs to produce any or all of the following: * Retrospective info describing the statistical behavior of the amount of time it would have taken to launch a job into a certain percentage of the number of mapper slots in the log's cluster, given the load over the period covered by the log * Statistical info as to the runtimes and shuffle times, etc. of the tasks and jobs covered by the log * files describing detailed job trace information, and the network topology as inferred from the host locations and rack IDs that arise in the job tracker log. In addition to this facility, rumen includes readers for this information to return job and detailed task information to other tools. These other tools include a more advanced version of gridmix, and also includes mumak: see blocked issues."", 'Implement functionality for get the list of job traces which has different intervals. Girdmix system tests should require different job traces with different time intervals for generate and submit the gridmix jobs. So, implement a functionaliy for getting the job traces and arrange them in hash table with time interval as key.Also getting the list of traces from resource location irrespective of time. The following methods needs to implement. Method signature: public static Map <String, String> getMRTraces(Configuration conf) throws IOException; - it get the traces with time intervals from resources default location. public static Map <String, String> getMRTraces(Configuration conf,Path path) throws IOException; - it get the traces with time intervals from user specified resource location. public static List<String> listMRTraces(Configuration conf) throws IOException -it list all the traces from resource default location irrespective of time interval. public static List<String> listMRTraces(Configuration conf, Path tracesPath) throws IOException - it list all the traces from user specified user location irrespective of time interval. public static List<String> listMRTracesByTime(Configuration conf, String timeInterval) throws IOException - it list all traces of a given time interval from default resource location. public static List<String> listMRTracesByTime(Configuration conf, String timeInterval,Path path) throws IOException - it list all traces of a given time interval from a given resources location.']"
