topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,issue_id
0.001234567901234657,0.001234567901234657,0.001234567901234657,0.001234567901234657,0.001234567901234657,0.001234567901234657,0.001234567901234657,0.9888888888888884,0.001234567901234657,0.001234567901234657,MAPREDUCE-2287
0.0005847953216375131,0.2729114448615158,0.0005847953216375131,0.21501183333044846,0.0005847953216375131,0.0005847953216375131,0.5079831545565732,0.0005847953216375131,0.0005847953216375131,0.0005847953216375131,MAPREDUCE-5332
0.5183924225840253,0.0006622516556292833,0.0006622516556292833,0.0006622516556292833,0.0006622516556292833,0.0006622516556292833,0.4763095641709406,0.0006622516556292833,0.0006622516556292833,0.0006622516556292833,MAPREDUCE-989
0.00024330900243314828,0.00024330900243314828,0.30932922554772385,0.16664276896490074,0.00024330900243314828,0.00024330900243314828,0.00024330900243314828,0.22580360363715365,0.00024330900243314828,0.29676454783562284,MAPREDUCE-7366
0.0001848428835490064,0.20442247057122195,0.0001848428835490064,0.22322282249953182,0.0001848428835490064,0.0001848428835490064,0.5710608067444033,0.0001848428835490064,0.0001848428835490064,0.0001848428835490064,MAPREDUCE-7295
0.0001883239171374916,0.0001883239171374916,0.0001883239171374916,0.0001883239171374916,0.0001883239171374916,0.0001883239171374916,0.0001883239171374916,0.0001883239171374916,0.9983050847457626,0.0001883239171374916,MAPREDUCE-7274
0.00028490028490033383,0.00028490028490033383,0.00028490028490033383,0.6495753452114222,0.00028490028490033383,0.28735565875553826,0.06107469403873712,0.00028490028490033383,0.00028490028490033383,0.00028490028490033383,MAPREDUCE-7236
8.257638315444009e-05,8.257638315444009e-05,8.257638315444009e-05,8.257638315444009e-05,0.7953438475097568,8.257638315444009e-05,8.257638315444009e-05,0.20399554142500745,8.257638315444009e-05,8.257638315444009e-05,MAPREDUCE-7219
0.00024330900243313376,0.3684607453765764,0.00024330900243313376,0.00024330900243313376,0.22523113495845695,0.14805567280182855,0.00024330900243313376,0.25679259284853934,0.00024330900243313376,0.00024330900243313376,MAPREDUCE-7190
0.11371926914315922,0.00022172949002221022,0.00022172949002221022,0.00022172949002221022,0.00022172949002221022,0.30801228858257335,0.00022172949002221022,0.1343976126828985,0.00022172949002221022,0.4425404526512358,MAPREDUCE-7185
8.326394671111142e-05,0.1101905767778538,8.326394671111142e-05,8.326394671111142e-05,0.37814134274663935,0.2397487297158885,8.326394671111142e-05,8.326394671111142e-05,0.2714197670793518,8.326394671111142e-05,MAPREDUCE-7180
